Node,degree,indegree_nodes_defines,outdegree_nodes_defines,indegree_nodes_calls,outdegree_nodes_calls,betweenness,closeness,pagerank,hubs,authorities,eigenvector,combined_score
\src\communities\communities::projectId,0.03225806451612903,,,0.13333333333333333,0.0,0.0,0.11472424557752342,0.037055409810427084,1.4842482748791541e-16,1.7209962783696602e-16,1.817174976231535e-10,0.3173710534191307
\src\model\codebase::Codebase.simplify,0.03225806451612903,1.0,0.0,0.0,0.125,0.0,0.05098855359001041,0.0019610392135172494,0.1880286395380995,0.15322423992891895,4.5367720254809065e-07,1.5514609904638776
\src\communities\centrality::folder_path,0.03225806451612903,,,0.13333333333333333,0.0,0.0,0.2135607534422175,0.07885036204970092,1.4842482748791541e-16,2.629264025082635e-16,2.198586504728424e-05,0.4580244992064285
\src\model\codebase::Node.resolveImportStatementsPath,0.03225806451612903,1.0,0.0,0.0,0.125,0.0,0.4029339356869115,0.012187612477670551,0.07414855585713911,0.13887657611991336,0.1343169526265067,1.9197216972842701
\src\communities\centrality::read_json,0.03225806451612903,,,0.13333333333333333,0.0,0.0,0.220623549187545,0.11097690128751699,1.4842482748791541e-16,1.7832146769840122e-16,2.244693944996772e-05,0.49721429526397465
\src\model\codebase::ImportStatement.constructor,0.03225806451612903,1.0,0.0,0.0,0.125,0.0,0.313525361436447,0.03400452670291049,0.021980682725273332,0.009500299868682708,0.14010935673279565,1.6763782919822379
\src\communities\centrality::pagerank,0.03225806451612903,,,0.06666666666666667,0.125,0.025799516259070145,0.11588307634093276,0.0176283843244435,1.1031867889529377e-16,2.1535419241152173e-16,2.2681869888144852e-06,0.3832379762942313
\src\wiki\wikiGuille::documentFolders,0.03225806451612903,,,0.0,0.25,0.0,0.0,0.0,2.067156013333316e-16,2.1603239140157903e-16,0.0,0.28225806451612945
\src\communities\centrality::closeness_centrality,0.03225806451612903,,,0.06666666666666667,0.125,0.025799516259070145,0.11588307634093276,0.0176283843244435,1.1031867889529377e-16,1.7045073868408998e-16,2.2681869888144852e-06,0.38323797629423123
\src\wiki\wikiGuille::buildWiki,0.03225806451612903,,,0.0,0.25,0.0,0.0,0.0,3.783259218554749e-16,2.4316736689106313e-16,0.0,0.2822580645161296
\src\communities\centrality::betweenness_centrality,0.03225806451612903,,,0.06666666666666667,0.125,0.025799516259070145,0.11588307634093276,0.0176283843244435,1.1031867889529377e-16,3.1446968402415526e-16,2.2681869888144852e-06,0.3832379762942314
