Node,degree,indegree_nodes_defines,outdegree_nodes_defines,indegree_nodes_calls,outdegree_nodes_calls,betweenness,closeness,pagerank,hubs,authorities,eigenvector,combined_score
\routes\github::github,0.1951219512195122,,,0.024390243902439025,0.23529411764705882,0.008011983772796391,0.019300680811686163,0.00016914400508388197,0.4508751756420178,2.1371854422542432e-16,0.0,0.9331632970005945
\services\ai\index::createModelResponse,0.1951219512195122,,,0.024390243902439025,0.23529411764705882,0.5515096198519213,0.09813905497467541,0.0003337886081960356,3.5971538807982314e-17,0.00653626683159544,0.0,1.111325043035398
\lib\utils::sendError,0.1951219512195122,,,0.21951219512195122,0.0,0.0,0.12510977026146566,0.007392791325955973,5.2783518551205504e-17,0.14457708801283786,0.0,0.691713795941723
\services\supabase\usage::UsageInsert,0.1951219512195122,,,0.17073170731707316,0.058823529411764705,0.011499668849077552,0.15988859445135473,0.010028837864460963,0.016495404027545176,0.0821384379744726,7.406919390552695e-07,0.7047288718072
\routes\chat\lib\openai::onFinal,0.1951219512195122,,,0.04878048780487805,0.20588235294117643,0.0,0.030157313768259635,0.0007005510075477164,0.28543629870511933,0.04144611089492669,4.543773876575552e-10,0.8075250667957974
\routes\chat\lib\openai::openAIAutocomplete,0.17073170731707316,,,0.0,0.23529411764705882,0.0,0.0,0.0,0.43634167413615066,1.2258495393227921e-16,0.0,0.8423674991002827
\lib\redis::redis,0.17073170731707316,,,0.17073170731707316,0.029411764705882353,0.005535657211017275,0.15532452653214104,0.0057196822631081405,0.04293200707934226,0.12410691623191232,0.0,0.7044939686575498
\services\supabase\usage::saveUsage,0.17073170731707316,,,0.14634146341463414,0.058823529411764705,0.01015341207837097,0.15289758080507634,0.001965576741617604,0.027223334751239135,0.12066958109384202,4.543773876575552e-10,0.6888061860679955
\routes\discord::discord,0.1463414634146341,,,0.024390243902439025,0.1764705882352941,0.02475828827442484,0.019300680811686163,0.00016914400508388197,0.31989990660005896,2.4043769076243075e-16,0.0,0.7113303152436212
\lib\response::codeGPTResponse,0.1463414634146341,0.0,1.0,0.024390243902439025,0.11764705882352941,0.03558636778511105,0.030157313768259635,0.00017142053882128138,4.902377450036569e-17,0.024588140889751406,0.0,1.378882009122546
\services\supabase\organizations::addOrgDailyTokens,0.1463414634146341,,,0.12195121951219512,0.058823529411764705,0.009489698076029616,0.13918760200735217,0.0018967512808156445,0.1684525294331803,0.06978032111153605,4.543773876575552e-10,0.7159231147018852
\lib\integrations\slack-app\app-flow\interfaces::ViewState,0.1463414634146341,,,0.04878048780487805,0.14705882352941177,0.007117273557022212,0.014475510608764624,0.001938087221281518,4.692930688307698e-17,8.520347652289229e-17,4.583531897995591e-08,0.3657116919713114
\routes\telemetry::telemetry,0.1463414634146341,,,0.024390243902439025,0.1764705882352941,0.0027399292861132714,0.019300680811686163,0.00016914400508388197,0.48262075080069766,2.404670466278067e-16,0.0,0.8520328004559484
\types\supabase::PublicSchema,0.1463414634146341,,,0.12195121951219512,0.058823529411764705,0.0,0.0579020424350585,0.012774322360792623,0.003104413260010904,0.0009239508782107932,1.831708843994522e-07,0.40182112444355117
\lib\chat\tokens::getModelTokens,0.1463414634146341,,,0.024390243902439025,0.1764705882352941,0.11261108383555143,0.09813905497467541,0.0003337886081960356,0.019059939868667393,0.00653626683159539,0.0,0.5838824296710529
\services\supabase\agents::getUserAgentById,0.1463414634146341,,,0.12195121951219512,0.058823529411764705,0.017793183892555527,0.09305685391348685,0.0015919528564819565,0.16652181876252728,0.2755738194753592,0.0,0.8816538412390047
\routes\web::web,0.12195121951219512,,,0.024390243902439025,0.14705882352941177,0.003417764862972529,0.019300680811686163,0.00016914400508388197,0.4310562237065508,2.3430508644648514e-16,0.0,0.7473441003303394
\routes\bitbucket::bitbucketApp,0.12195121951219512,,,0.024390243902439025,0.14705882352941177,0.010365579525779928,0.019300680811686163,0.00016914400508388197,0.31672280374516415,1.9614854867709272e-16,0.0,0.6399584950317603
